"","gene","coefficientValue","q_val","pval","cellType","Effect_Magnitude","Effect_Direction"
"11417","NASP",-0.00670137441038914,0.0538329744330993,0.000144404426839319,"Fibroblast",0.00670137441038914,"Negative"
"11450","ANKHD1",-0.00658476200939836,0.0223232611043056,4.12973103400344e-05,"Fibroblast",0.00658476200939836,"Negative"
"11536","DPYSL2",0.0062753837221577,0.0632366814207917,0.000207949428148492,"Fibroblast",0.0062753837221577,"Positive"
"11550","PCNX1",-0.00621092694457864,0.0888484778217284,0.000558847145673622,"Fibroblast",0.00621092694457864,"Negative"
"11609","OXCT1",-0.00604521148468352,0.0793773130571353,0.000456428096292588,"Fibroblast",0.00604521148468352,"Negative"
"11631","NAA38",-0.00597254487433823,0.0219855686635026,3.66053312314353e-05,"Fibroblast",0.00597254487433823,"Negative"
"11636","EPB41L5",-0.00595072141175828,0.0779632192693181,0.000355711004473214,"Fibroblast",0.00595072141175828,"Negative"
"11817","SF3B1",-0.00547544818454901,0.0182096643393452,2.69498316001778e-05,"Fibroblast",0.00547544818454901,"Negative"
"11876","SRSF11",-0.00532885365586881,0.0407349680981456,0.000101733802483575,"Fibroblast",0.00532885365586881,"Negative"
"11933","CAPN7",-0.00519911158563256,0.0779632192693181,0.000384888498254318,"Fibroblast",0.00519911158563256,"Negative"
"11939","ITPRID2",-0.00518248031601649,0.0061158074630782,4.52561832435719e-06,"Fibroblast",0.00518248031601649,"Negative"
"11976","VPS33B",0.00510846176740409,0.0286241234272434,6.35444419807456e-05,"Fibroblast",0.00510846176740409,"Positive"
"11977","TIAL1",-0.00510844383494575,0.00810337097931654,6.84260900160715e-06,"Fibroblast",0.00510844383494575,"Negative"
"11998","ARMC8",-0.00507110581693698,0.0825325232118879,0.000496218111994516,"Fibroblast",0.00507110581693698,"Negative"
"12009","DDHD2",-0.00504315892216351,0.0338409624616076,7.82558562149839e-05,"Fibroblast",0.00504315892216351,"Negative"
"12200","HCFC2",-0.00473641829683876,0.0176146798974175,2.44399406587052e-05,"Fibroblast",0.00473641829683876,"Negative"
"12302","GRSF1",-0.00455954842595822,0.0779632192693181,0.000400743329261183,"Fibroblast",0.00455954842595822,"Negative"
"12441","ZNF207",-0.00438339365717285,0.0098838330714098,1.18851012790979e-05,"Fibroblast",0.00438339365717285,"Negative"
"12446","UBA1",0.00437951147831219,0.0611675876878857,0.000184350608940229,"Fibroblast",0.00437951147831219,"Positive"
"12522","API5",-0.00424829646821415,0.00314139286962984,1.42237815681213e-06,"Fibroblast",0.00424829646821415,"Negative"
"12605","BRWD1",-0.00414620763528185,0.0847265002247379,0.000517246232062964,"Fibroblast",0.00414620763528185,"Negative"
"12660","VAPA",-0.00406733179451374,0.0779632192693181,0.000315487180000805,"Fibroblast",0.00406733179451374,"Negative"
"12855","TRAPPC6B",-0.0038642808770606,0.0632366814207917,0.000228122336084624,"Fibroblast",0.0038642808770606,"Negative"
"13024","CAND1",-0.00369884024145816,0.0779632192693181,0.000381411918116535,"Fibroblast",0.00369884024145816,"Negative"
"14629","CNOT4",-0.00253052194998535,0.086492594344602,0.000536028472952394,"Fibroblast",0.00253052194998535,"Negative"
"21401","MRPS28",0.0357114322207533,0.0189683937277623,6.07642190115062e-06,"Lymphocyte",0.0357114322207533,"Positive"
"21607","LMBR1L",-0.015033424472888,0.0189683937277623,5.525678207023e-06,"Lymphocyte",0.015033424472888,"Negative"
"21840","CALCOCO1",-0.0117472208620783,0.0189683937277623,6.46576311592853e-06,"Lymphocyte",0.0117472208620783,"Negative"
"40844","RANBP17",-0.0139516129066367,0.00456660107496363,4.54840744518289e-07,"Perivascular",0.0139516129066367,"Negative"
"50790","FOS",0.0604483960051107,0.000649544282513358,7.3529046261526e-07,"Ventricular_Cardiomyocytes",0.0604483960051107,"Positive"
"50791","EGR1",0.0420841883625618,0.00891253279634944,0.000162977349985491,"Ventricular_Cardiomyocytes",0.0420841883625618,"Positive"
"50792","ATP6V1FNB",0.0419046450510602,0.0350529163524889,0.00165436090761486,"Ventricular_Cardiomyocytes",0.0419046450510602,"Positive"
"50793","COL25A1",0.0373622935755208,0.00231412506423391,1.60042613290073e-05,"Ventricular_Cardiomyocytes",0.0373622935755208,"Positive"
"50794","C4orf54",0.0332035408296761,0.0789095857755213,0.0068643918660524,"Ventricular_Cardiomyocytes",0.0332035408296761,"Positive"
"50795","MDGA1",0.0326514012899144,0.00231412506423391,1.56372850648621e-05,"Ventricular_Cardiomyocytes",0.0326514012899144,"Positive"
"50796","NR4A1",0.0318583090407271,0.020630363955808,0.000667914272068049,"Ventricular_Cardiomyocytes",0.0318583090407271,"Positive"
"50797","CACNA1E",0.0315996008948274,0.00768014466773805,0.000119040904811683,"Ventricular_Cardiomyocytes",0.0315996008948274,"Positive"
